Student_Name,Roll_Number,Gender,Age,10th_Percentage,12th_Percentage,UG_CGPA,Backlogs_Count,Attendance_%,Technical_Skill_Score,Primary_Tech,Soft_Skill_Score,Soft_Skill_Strong_Area,Programming_Languages_Known,Projects_Count,Internships_Count,Certifications_Count,Study_Hours_per_Day,Preferred_Domain,Career_Path,Placement_Eligible,Package_LPA
Vihaan Sharma,R20230001,Male,21,63.94,69.19,7.22,2,93.4,86,JavaScript,61,Problem-Solving,5,1,1,3,1.8,Data Science,Data Scientist,Yes,10.51
Krishna Singh,R20240002,Female,18,77.17,73.27,7.01,0,73.6,87,Java,81,Problem-Solving,2,2,0,3,2.2,AI/ML,Software Developer,Yes,9.06
Sai Kumar,R20250003,Female,21,62.95,55.73,6.15,0,81.4,69,Python,62,Critical Thinking,4,3,1,3,3.1,Cybersecurity,SOC Engineer,Yes,6.53
Vihaan Chowdhury,R20230004,Female,21,85.6,79.35,5.99,2,86.5,65,Java,72,Critical Thinking,4,4,0,1,3.5,Data Science,ML Engineer,Yes,8.77
Aditya Bose,R20240005,Male,21,78.82,75.9,7.96,1,84.0,78,Java,64,Project Management,4,2,0,1,1.9,Data Science,Software Developer,Yes,7.03
Aadhya Verma,R20250006,Male,22,63.42,61.31,6.74,0,92.9,76,Python,65,Leadership,5,1,1,3,1.2,Cybersecurity,Network Engineer,Yes,6.96
Aarav Gupta,R20230007,Male,22,74.91,70.29,7.78,0,86.8,59,C,60,Critical Thinking,1,0,0,2,3.8,Web Development,Web Developer,Yes,5.14
Muhammad Singh,R20240008,Female,21,70.48,62.7,6.34,0,73.4,70,Python,86,Critical Thinking,3,2,2,4,3.6,Web Development,Web Developer,Yes,5.5
Anika Khan,R20250009,Female,20,81.19,78.45,7.62,1,100.0,63,C,55,Leadership,3,3,0,4,3.4,Data Science,Software Developer,Yes,7.24
Aarav Chowdhury,R20230010,Female,18,91.4,92.49,8.96,0,83.9,50,C,55,Problem-Solving,3,1,0,1,3.3,Web Development,Web Developer,Yes,5.15
Muhammad Chowdhury,R20240011,Male,21,59.25,62.82,8.1,0,80.5,85,Python,98,Problem-Solving,6,2,0,4,2.3,Data Science,ML Engineer,Yes,9.77
Aadhya Singh,R20250012,Female,21,79.15,75.81,6.91,0,91.6,65,Python,81,Critical Thinking,3,0,2,5,2.6,Data Science,Data Analyst,Yes,7.36
Sara Bose,R20230013,Female,21,76.4,73.92,7.71,0,84.5,97,Other,30,Problem-Solving,3,7,0,1,2.9,Cybersecurity,SOC Engineer,Yes,7.23
Krishna Sharma,R20240014,Male,19,84.71,79.15,7.11,0,86.0,38,Python,58,Problem-Solving,3,0,0,3,1.8,Data Science,Data Scientist,Yes,9.06
Reyansh Jha,R20250015,Male,19,80.13,79.94,7.41,0,100.0,55,JavaScript,39,Problem-Solving,4,1,0,3,3.3,AI/ML,ML Engineer,Yes,9.08
Ananya Reddy,R20230016,Male,22,70.48,65.39,7.01,1,79.2,65,Java,52,Project Management,4,3,0,2,2.9,AI/ML,Data Analyst,Yes,8.63
Arjun Yadav,R20240017,Male,20,74.81,78.25,7.2,0,78.8,82,JavaScript,19,Communication,6,1,0,1,2.6,Data Science,Data Analyst,Yes,6.81
Ananya Patel,R20250018,Male,22,70.04,59.32,7.65,1,83.2,70,Python,64,Critical Thinking,4,2,2,2,3.9,Web Development,Software Developer,Yes,5.91
Aditya Mishra,R20230019,Male,21,88.76,86.6,6.21,0,92.7,69,Other,49,Critical Thinking,3,3,1,2,2.7,Cybersecurity,Software Developer,Yes,6.48
Vihaan Roy,R20240020,Male,21,78.21,80.02,6.18,0,66.9,46,Java,67,Project Management,7,1,1,3,3.6,Web Development,Backend Developer,Yes,5.38
Diya Khan,R20250021,Female,22,97.01,98.11,5.73,1,62.3,45,JavaScript,42,Communication,6,3,0,0,1.4,Web Development,Frontend Developer,No,2.35
Krishna Verma,R20230022,Male,20,77.39,93.55,5.48,2,76.1,69,Python,67,Communication,5,2,1,3,3.8,Web Development,Frontend Developer,Yes,4.64
Sara Chowdhury,R20240023,Male,21,70.92,73.02,5.94,2,65.7,42,C,60,Project Management,4,5,0,1,3.5,Data Science,Software Developer,No,4.45
Vihaan Mishra,R20250024,Male,20,62.86,56.84,7.59,0,77.8,55,Java,89,Leadership,4,1,0,2,5.4,Cloud Computing,SRE,Yes,8.77
Aditya Chowdhury,R20230025,Male,20,59.97,59.4,6.33,1,87.0,72,C,87,Leadership,2,2,0,0,4.7,AI/ML,Software Developer,Yes,8.77
Ishaan Khan,R20240026,Female,20,62.16,51.5,8.02,1,73.1,48,Python,78,Communication,3,4,0,0,3.9,Data Science,Data Analyst,Yes,6.88
Diya Bose,R20250027,Male,21,80.67,80.19,7.44,1,67.7,90,Python,61,Leadership,6,1,0,3,2.2,Mobile Development,Android Developer,Yes,6.03
Muhammad Gupta,R20230028,Male,20,83.09,78.09,5.04,2,82.7,84,Java,96,Leadership,3,4,1,2,1.7,Web Development,Backend Developer,Yes,6.78
Vivaan Singh,R20240029,Female,22,62.19,67.68,8.19,1,90.6,39,Other,43,Leadership,6,1,2,1,1.9,AI/ML,ML Engineer,Yes,8.76
Ishaan Gupta,R20250030,Male,19,86.95,83.65,8.37,1,65.1,49,Python,45,Communication,6,3,1,2,3.4,Cloud Computing,DevOps Engineer,Yes,7.7
Sai Patel,R20230031,Female,20,73.17,72.47,6.21,1,90.2,27,JavaScript,65,Leadership,3,3,1,0,4.4,Cloud Computing,DevOps Engineer,Yes,7.14
Isha Reddy,R20240032,Male,20,79.47,75.66,7.9,0,90.2,51,Java,100,Critical Thinking,6,2,0,2,1.3,Web Development,Web Developer,Yes,4.9
Sara Roy,R20250033,Male,23,94.12,100.0,6.37,0,91.5,76,Python,63,Communication,6,1,1,3,1.8,Cybersecurity,Network Engineer,Yes,7.04
